experiment,mode,series,method_id,method_label,x_name,x_value,metric,mean,p50,p95,ci_lower,ci_upper,sample_count,cluster_count,bootstrap_iterations,numerator,denominator
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,30.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,30.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,40.0,feasible_solution_rate_percent,0.0,0.0,0.0,0.0,0.0,9,5,5000,0,9
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,40.0,qos_satisfaction_rate_percent,0.0,0.0,0.0,0.0,0.0,9,5,5000,0,9
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,40.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,50.0,feasible_solution_rate_percent,0.0,0.0,0.0,0.0,0.0,8,5,5000,0,8
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,50.0,qos_satisfaction_rate_percent,0.0,0.0,0.0,0.0,0.0,8,5,5000,0,8
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,50.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,2,2
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,60.0,feasible_solution_rate_percent,0.0,0.0,0.0,0.0,0.0,9,5,5000,0,9
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,60.0,qos_satisfaction_rate_percent,0.0,0.0,0.0,0.0,0.0,9,5,5000,0,9
exp2,pilot,conflict_density,independent,Independent,conflict_density_percent,60.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,0.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000,10,10
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,0.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000,10,10
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,10.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,8,5,5000,8,8
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,10.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,8,5,5000,8,8
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,10.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,2,2
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,20.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,20.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,20.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,30.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,30.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,30.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,40.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,40.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,40.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,50.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,8,5,5000,8,8
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,50.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,8,5,5000,8,8
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,50.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,2,2
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,60.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,60.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,proposed,Proposed,conflict_density_percent,60.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,0.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000,10,10
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,0.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,10,5,5000,10,10
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,10.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,8,5,5000,8,8
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,10.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,8,5,5000,8,8
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,10.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,2,2
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,20.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,20.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,20.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,30.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,30.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,30.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,40.0,feasible_solution_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,40.0,qos_satisfaction_rate_percent,100.0,100.0,100.0,100.0,100.0,9,5,5000,9,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,40.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,50.0,feasible_solution_rate_percent,87.5,100.0,100.0,66.66666666666667,100.0,8,5,5000,7,8
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,50.0,qos_satisfaction_rate_percent,87.5,100.0,100.0,66.66666666666667,100.0,8,5,5000,7,8
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,50.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,2,2,5000,2,2
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,60.0,feasible_solution_rate_percent,66.66666666666667,100.0,100.0,30.0,100.0,9,5,5000,6,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,60.0,qos_satisfaction_rate_percent,66.66666666666667,100.0,100.0,30.0,100.0,9,5,5000,6,9
exp2,pilot,conflict_density,sanet_dw,SANet-DW*,conflict_density_percent,60.0,safe_rejection_rate_percent,100.0,100.0,100.0,100.0,100.0,1,1,5000,1,1
